	acadonto	acm.rkbexplorer	agrinepaldata	aims	alaska	apertium	arrayexpress	athelia	bfs.270a	biblioteca-nacional	brown	dblp	dbpedia	geonames	linkedgeodata	swdf	vivosearch	wiktionary	wordnet	yago	 
acadonto	1,0	0,04	0,16	0,20	0,00	0,04	0,24	0,16	0,04	0,04	0,04	0,04	0,00	0,04	0,04	0,08	0,20	0,04	0,04	0,04	 
acm.rkbexplorer	0,04	1,0	0,21	0,69	0,01	0,15	0,08	0,62	0,69	0,12	0,38	0,12	0,00	0,04	0,08	0,27	0,19	0,08	0,03	0,08	 
agrinepaldata	0,16	0,21	1,0	0,64	0,01	0,29	0,86	0,71	0,21	0,14	0,21	0,14	0,00	0,07	0,14	0,43	0,93	0,14	0,03	0,36	 
aims	0,20	0,69	0,64	1,0	0,02	0,08	0,10	0,43	0,36	0,09	0,16	0,22	0,00	0,05	0,05	0,07	0,32	0,10	0,06	0,17	 
alaska	0,00	0,01	0,01	0,02	1,0	0,01	0,01	0,02	0,02	0,01	0,01	0,01	0,00	0,00	0,02	0,02	0,05	0,01	0,01	0,01	 
apertium	0,04	0,15	0,29	0,08	0,01	1,0	0,02	0,20	0,27	0,13	0,20	0,10	0,00	0,13	0,20	0,02	0,40	0,13	0,04	0,27	 
arrayexpress	0,24	0,08	0,86	0,10	0,01	0,02	1,0	0,06	0,01	0,01	0,02	0,10	0,00	0,01	0,01	0,04	0,11	0,01	0,06	0,05	 
athelia	0,16	0,62	0,71	0,43	0,02	0,20	0,06	1,0	0,42	0,17	0,38	0,12	0,00	0,07	0,07	0,05	0,42	0,06	0,03	0,13	 
bfs.270a	0,04	0,69	0,21	0,36	0,02	0,27	0,01	0,42	1,0	0,08	0,21	0,07	0,10	0,04	0,06	0,03	0,13	0,06	0,03	0,04	 
biblioteca-nacional	0,04	0,12	0,14	0,09	0,01	0,13	0,01	0,17	0,08	1,0	0,12	0,07	0,00	0,04	0,09	0,03	0,22	0,06	0,03	0,13	 
brown	0,04	0,38	0,21	0,16	0,01	0,20	0,02	0,38	0,21	0,12	1,0	0,15	0,00	0,04	0,06	0,03	0,18	0,06	0,03	0,06	 
dblp	0,04	0,12	0,14	0,22	0,01	0,10	0,10	0,12	0,07	0,07	0,15	1,0	0,00	0,07	0,07	0,51	0,10	0,10	0,04	0,12	 
dbpedia	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,10	0,00	0,00	0,00	1,0	0,00	0,00	0,01	0,00	0,00	0,00	0,00	 
geonames	0,04	0,04	0,07	0,05	0,00	0,13	0,01	0,07	0,04	0,04	0,04	0,07	0,00	1,0	0,11	0,02	0,07	0,06	0,01	0,04	 
linkedgeodata	0,04	0,08	0,14	0,05	0,02	0,20	0,01	0,07	0,06	0,09	0,06	0,07	0,00	0,11	1,0	0,02	0,01	0,10	0,04	0,00	 
swdf	0,08	0,27	0,43	0,07	0,02	0,02	0,04	0,05	0,03	0,03	0,03	0,51	0,01	0,02	0,02	1,0	0,06	0,13	0,04	0,02	 
vivosearch	0,20	0,19	0,93	0,32	0,05	0,40	0,11	0,42	0,13	0,22	0,18	0,10	0,00	0,07	0,01	0,06	1,0	0,10	0,04	0,04	 
wiktionary	0,04	0,08	0,14	0,10	0,01	0,13	0,01	0,06	0,06	0,06	0,06	0,10	0,00	0,06	0,10	0,13	0,10	1,0	0,04	0,10	 
wordnet	0,04	0,03	0,03	0,06	0,01	0,04	0,06	0,03	0,03	0,03	0,03	0,04	0,00	0,01	0,04	0,04	0,04	0,04	1,0	0,04	 
yago	0,02	0,06	0,09	0,13	0,16	0,20	0,01	0,02	0,02	0,03	0,03	0,02	0,03	0,04	0,04	0,05	0,06	0,07	0,08	1,00
